date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-03-14|14:09:50|Office Supplies|Salesforce|961.07
2023-12-04|17:56:45|Software License|Amazon|1080.20
2023-08-14|16:26:39|Office Supplies|Microsoft|881.45
2023-10-25|17:09:13|Travel Reimbursement|Panera|1521.73
2023-07-27|08:27:09|Invoice Payment|Microsoft|944.80
2023-05-28|17:57:53|Hardware Purchase|Microsoft|1183.50
2023-11-26|15:11:41|Consulting Services|Microsoft|434.87
2023-02-15|11:00:44|Consulting Services|Amazon|341.92
2023-10-04|09:31:38|Subscription Renewal|Dell|665.96
2023-02-08|13:43:46|Consulting Services|Staples|1422.51
2023-11-21|13:29:10|Lunch Meeting|Starbucks|607.76
2023-03-28|17:00:36|Hardware Purchase|Salesforce|-328.54
2023-05-10|14:44:43|Maintenance Fee|Freelancer|1796.56
2023-05-11|11:12:37|Lunch Meeting|Starbucks|717.94
2023-03-27|15:30:44|Software License|Amazon|1914.60
2023-11-15|11:17:41|Hardware Purchase|Salesforce|1181.33
2023-04-02|13:07:03|Lunch Meeting|Salesforce|1157.93
2023-06-04|08:54:48|Maintenance Fee|Dell|1130.68
2023-12-24|15:29:47|Hardware Purchase|Salesforce|1640.46
2023-11-19|10:30:53|Coffee|IT Services Inc|279.90
2023-11-09|17:20:32|Lunch Meeting|Salesforce|1513.62
2023-12-12|15:44:51|Lunch Meeting|Panera|1329.89
2023-12-22|17:36:47|Lunch Meeting|Adobe|1003.98
2023-08-01|15:11:07|Office Supplies|Salesforce|1247.34
2023-01-31|09:21:41|Consulting Services|Amazon|60.06
2023-01-08|10:37:26|Hardware Purchase|Salesforce|678.68
2023-01-19|12:59:14|Office Supplies|Amazon|1735.30
2023-04-03|09:03:37|Coffee|Panera|1492.12
2023-02-20|10:24:23|Maintenance Fee|IT Services Inc|764.50
2023-12-01|17:54:31|Hardware Purchase|Freelancer|226.59
2023-06-25|10:42:45|Travel Reimbursement|Panera|1944.90
2023-03-12|08:57:50|Subscription Renewal|Salesforce|1027.26
2023-11-20|14:16:30|Subscription Renewal|Adobe|924.48
2023-01-02|11:38:43|Hardware Purchase|Freelancer|1556.34
2023-11-20|17:18:22|Hardware Purchase|Dell|1556.37
2023-08-30|08:49:00|Lunch Meeting|Salesforce|1624.44
2023-03-09|17:26:16|Office Supplies|Salesforce|1659.39
2023-06-04|15:13:24|Maintenance Fee|IT Services Inc|153.79
2023-10-09|13:57:28|Office Supplies|Starbucks|1726.45
2023-08-09|15:39:38|Subscription Renewal|Amazon|1243.41
2023-04-18|15:10:23|Office Supplies|IT Services Inc|326.31
2023-12-29|14:24:47|Hardware Purchase|Salesforce|1507.70
2023-11-17|12:13:31|Office Supplies|Panera|1772.42
2023-08-17|17:38:24|Subscription Renewal|Adobe|223.08
2023-07-21|17:43:40|Lunch Meeting|Adobe|1682.92
2023-05-11|15:24:24|Office Supplies|Amazon|680.99
2023-09-08|14:21:00|Coffee|Panera|1307.18
2023-06-01|13:27:26|Lunch Meeting|Panera|796.59
2023-03-24|17:17:56|Travel Reimbursement|Freelancer|570.51
2023-03-29|13:06:42|Coffee|Salesforce|92.71
2023-10-17|17:00:57|Lunch Meeting|Adobe|1804.84
2023-03-06|17:48:20|Subscription Renewal|Amazon|1372.86
2023-06-15|08:22:05|Office Supplies|Salesforce|1147.44
2023-03-11|11:06:04|Hardware Purchase|IT Services Inc|1803.85
2023-03-20|14:48:02|Hardware Purchase|Amazon|692.84
2023-02-22|08:47:58|Travel Reimbursement|Amazon|1512.68
2023-07-26|08:43:37|Consulting Services|Salesforce|1539.60
2023-08-26|15:53:59|Subscription Renewal|Panera|1009.16
2023-10-08|13:36:45|Software License|Amazon|139.66
2023-09-10|12:00:24|Consulting Services|Amazon|1180.41
2023-11-03|09:58:09|Maintenance Fee|Freelancer|157.09
2023-07-03|11:35:13|Office Supplies|IT Services Inc|1217.17
2023-11-30|13:12:19|Lunch Meeting|Panera|1234.99
2023-09-11|12:16:08|Office Supplies|Salesforce|1314.11
2023-04-12|17:34:35|Software License|Dell|1013.55
2023-11-07|13:31:33|Coffee|Freelancer|402.16
2023-03-13|10:28:02|Office Supplies|Salesforce|1569.21
2023-01-14|14:17:12|Lunch Meeting|Amazon|506.79
2023-11-10|10:30:10|Maintenance Fee|Adobe|1873.87
2023-03-22|15:59:00|Lunch Meeting|Salesforce|607.98
2023-10-31|15:32:27|Travel Reimbursement|Adobe|1031.83
2023-09-27|09:24:44|Maintenance Fee|Freelancer|1585.53
2023-03-02|17:30:52|Subscription Renewal|IT Services Inc|1569.78

2025-05-01|17:50:46|asdfad|adasdasd|1234.00
2025-05-01|17:52:14|adasd|sdcsf|-1234.00
